147881 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147882 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147883 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147884 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147885 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [], 'bullets': []}
147886 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147897 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147898 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147899 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147900 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [3.9375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147901 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.0, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147902 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147903 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147904 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147905 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147906 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147907 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147908 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147909 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147910 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147911 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147912 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147913 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147914 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147915 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147916 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [4.9375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147917 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.0, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147918 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147919 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147920 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147921 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147922 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147923 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147924 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147925 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147926 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147927 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147928 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147929 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147930 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147931 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147932 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [5.9375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147933 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.0, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147934 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147935 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147936 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147937 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147938 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147939 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147940 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147941 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147942 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147943 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147944 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147945 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147946 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147947 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147948 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [6.9375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147949 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.0, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147950 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147951 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147952 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147953 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147954 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147955 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147956 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147957 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147958 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147959 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147960 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147961 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147962 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147963 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147964 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [7.9375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147965 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.0, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147966 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.0625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147967 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147968 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.1875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147969 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.25, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147970 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.3125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147971 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147972 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.4375, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147973 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.5, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147974 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.5625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147975 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.625, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147976 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.6875, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147977 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.75, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
147978 : {'maze': {'seed': 11122000, 'width': 32, 'height': 16}, 'players': [{'id': 14, 'hp': 10, 'position': [8.8125, 2.0], 'current_direction': -2, 'next_direction': None, 'seed': 2, 'bullet_cooldown': 0, 'bullet_counter': 0, 'dead_counter': 1}], 'bullets': []}
